url;Perfume;Brand;Country;Gender;rating_value;rating_count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
https://www.fragrantica.com/perfume/dior/poison-218.html;poison;dior;France;women;3.94;14700;1985;plum, wild berries, coriander, anise, brazilian rosewood;tuberose, incense, white honey, cinnamon, opoponax, carnation, jasmine, african orange flower, rose;vanille, amber, sandalwood, heliotrope, musk, vetiver, virginia cedar;fruity;sweet;amber;white floral;woody
https://www.fragrantica.com/perfume/giorgio-armani/acqua-di-gioia-8442.html;acqua-di-gioia;giorgio-armani;Italy;women;3.9;14643;2010;amalfi lemon, mint;water jasmine;virginia cedar, brown sugar, french labdanum;aromatic;citrus;green;white floral;fresh spicy
https://www.fragrantica.com/perfume/dior/dior-addict-215.html;dior-addict;dior;France;women;4.11;14456;2002;blackberry, mandarin leaf, silk tree blossom;jasmine, orange blossom, night blooming cereus, rose;vanilla, tonka bean, mysore sandalwood;vanilla;white floral;sweet;fruity;amber
https://www.fragrantica.com/perfume/yves-saint-laurent/libre-56077.html;libre;yves-saint-laurent;France;women;3.93;14331;2019;lavender, mandarin orange, black currant, petitgrain;lavender, orange blossom, jasmine;madagascar vanilla, musk, cedar, ambergris;white floral;citrus;lavender;vanilla;aromatic
https://www.fragrantica.com/perfume/issey-miyake/l-eau-d-issey-pour-homme-721.html;l-eau-d-issey-pour-homme;issey-miyake;Japan;men;4.15;14183;1994;yuzu, lemon, bergamot, lemon verbena, mandarin orange, cypress, calone, coriander, tarragon, sage;blue lotus, nutmeg, lily-of-the-valley, bourbon geranium, saffron, ceylon cinnamon, mignonette;tahitian vetiver, musk, cedar, sandalwood, amber, tobacco;citrus;aromatic;fresh spicy;woody;floral
https://www.fragrantica.com/perfume/lancome/hypnose-170.html;hypnose;lancome;France;women;3.86;14109;2005;passion flower;jasmine, gardenia;vanille, vetiver;vanilla;floral;white floral;fruity;sweet
https://www.fragrantica.com/perfume/giorgio-armani/acqua-di-gio-profumo-29727.html;acqua-di-gio-profumo;giorgio-armani;Italy;men;4.41;14072;2015;sea notes, bergamot;rosemary, sage, geranium;incense, patchouli;aromatic;marine;fresh spicy;amber;woody
https://www.fragrantica.com/perfume/chanel/chance-eau-fraiche-1483.html;chance-eau-fraiche;chanel;France;women;4.08;13987;2007;lemon, cedar, citron;water hyacinth, pink pepper, jasmine;white musk, patchouli, vetiver, teak wood, iris, amber;woody;citrus;aromatic;floral;musky
https://www.fragrantica.com/perfume/nina-ricci/nina-147.html;nina;nina-ricci;France;women;3.84;13972;2006;amalfi lemon, lime;granny smith apple, praline, peony, datura;apple tree, musk, virginia cedar;citrus;sweet;fresh;fruity;woody
https://www.fragrantica.com/perfume/kenzo/flower-by-kenzo-72.html;flower-by-kenzo;kenzo;France;women;3.62;13967;2000;bulgarian rose, hawthorn, black currant, mandarin orange;parma violet, rose, opoponax, jasmine;vanilla, white musk, incense;powdery;floral;violet;rose;amber
https://www.fragrantica.com/perfume/britney-spears/fantasy-600.html;fantasy;britney-spears;USA;women;3.93;13832;2005;kiwi, red litchi, quince;white chocolate, cupcake, orchid, jasmine;musk, orris root, woodsy notes;sweet;fruity;tropical;fresh;chocolate
https://www.fragrantica.com/perfume/giorgio-armani/armani-code-for-women-413.html;armani-code-for-women;giorgio-armani;Italy;women;3.98;13821;2006;italian orange, jasmine, bitter orange;jasmine, orange blossom, ginger;honey, vanilla, sandalwood;citrus;white floral;sweet;vanilla;honey
https://www.fragrantica.com/perfume/guerlain/mon-guerlain-43297.html;mon-guerlain;guerlain;France;women;4.06;13785;2017;lavender, bergamot;iris, jasmine sambac, rose;tahitian vanilla, coumarin, australian sandalwood, licorice, benzoin, patchouli;vanilla;lavender;woody;aromatic;powdery
https://www.fragrantica.com/perfume/chanel/bleu-de-chanel-eau-de-parfum-25967.html;bleu-de-chanel-eau-de-parfum;chanel;France;men;4.42;13646;2014;grapefruit, lemon, mint, pink pepper, bergamot, aldehydes, coriander;ginger, nutmeg, jasmine, melon;incense, amber, cedar, sandalwood, patchouli, amberwood, labdanum;citrus;amber;woody;warm spicy;aromatic
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-le-parfum-61856.html;le-male-le-parfum;jean-paul-gaultier;France;men;4.6;13406;2020;cardamom;lavender, iris;vanilla, oriental notes, woodsy notes;warm spicy;vanilla;lavender;aromatic;powdery
https://www.fragrantica.com/perfume/aquolina/pink-sugar-975.html;pink-sugar;aquolina;Italy;women;3.73;13393;2004;raspberry, orange, bergamot, fig leaf;cotton candy, licorice, strawberry, red berries, lily-of-the-valley;caramel, vanilla, musk, tonka bean, sandalwood;sweet;caramel;vanilla;fruity;soft spicy
https://www.fragrantica.com/perfume/lancome/miracle-184.html;miracle;lancome;France;women;3.94;13332;2000;litchi, freesia;magnolia, pepper, ginger, mandarin orange, jasmine;jasmine, musk, amber;floral;citrus;warm spicy;fresh spicy;fruity
https://www.fragrantica.com/perfume/chanel/chanel-no-5-parfum-28711.html;chanel-no-5-parfum;chanel;France;women;3.69;13217;1921;aldehydes, ylang-ylang, neroli, bergamot, lemon;iris, jasmine, rose, orris root, lily-of-the-valley;civet, musk, sandalwood, amber, moss, vanilla, vetiver, patchouli;powdery;woody;aldehydic;iris;fresh
https://www.fragrantica.com/perfume/versace/versace-man-eau-fraiche-644.html;versace-man-eau-fraiche;versace;Italy;men;4.15;13065;2006;lemon, bergamot, carambola (star fruit), cardamom, brazilian rosewood;cedar, tarragon, sage, pepper;musk, woodsy notes, saffron, amber, sycamore;citrus;aromatic;woody;fruity;fresh spicy
https://www.fragrantica.com/perfume/cacharel/amor-amor-238.html;amor-amor;cacharel;France;women;3.74;12922;2003;black currant, orange, mandarin orange, grapefruit, cassia, bergamot;rose, apricot, jasmine, lily, lily-of-the-valley;vanilla, tonka bean, musk, amber, virginia cedar;citrus;fruity;vanilla;soft spicy;aromatic
https://www.fragrantica.com/perfume/paco-rabanne/lady-million-9045.html;lady-million;paco-rabanne;Spain;women;3.62;12921;2010;raspberry, neroli, amalfi lemon;jasmine, african orange flower, gardenia;white honey, patchouli, amber;white floral;sweet;honey;citrus;fruity
